User Message,From,Channel,Intent,Score,Text Reply,MessageReceived,ChannelUserId
Leadership,User,Webchat,Leadership - General,1,,11/04/2019 06:29:11 +00:00,243484
GIC's Management,User,Webchat,Leadership - Management,1,,11/04/2019 06:29:15 +00:00,243484
Who is GIC’s Chief Executive Officer,User,Webchat,Leadership - CEO,1,,11/04/2019 06:29:19 +00:00,243484
Purpose Of Funds,User,Webchat,Purpose of Funds - General,1,,11/04/2019 13:20:32 +00:00,244156
Investments,User,Webchat,About GIC - Investment,1,,11/04/2019 08:54:37 +00:00,243809
Community Programmes,User,Webchat,Community Programmes - CSR Programmes,1,,11/04/2019 08:54:39 +00:00,243809
Community Programmes,User,Webchat,Community Programmes - CSR Programmes,1,,11/04/2019 16:56:29 +00:00,244551
hi,User,Webchat,Onboarding-Greetings-Menu,1,,11/05/2019 09:34:48 +00:00,82691
About GIC,User,Webchat,About GIC - Definition,1,,11/05/2019 04:25:36 +00:00,244677
Botbot_Init_Message,User,Webchat,Onboarding-Greetings-Menu,0.5594801902770996,,11/02/2019 18:11:24 +00:00,243023
Botbot_Init_Message,User,Webchat,Onboarding-Greetings-Menu,0.5594801902770996,,11/03/2019 05:37:39 +00:00,243056
Botbot_Init_Message,User,Webchat,Onboarding-Greetings-Menu,0.5594801902770996,,11/03/2019 06:07:06 +00:00,243056
Botbot_Init_Message,User,Webchat,Onboarding-Greetings-Menu,0.5594801902770996,,11/03/2019 14:32:46 +00:00,243076
Botbot_Init_Message,User,Webchat,Onboarding-Greetings-Menu,0.5594801902770996,,11/04/2019 01:39:52 +00:00,243126
Botbot_Init_Message,User,Webchat,Onboarding-Greetings-Menu,0.5594801902770996,,11/04/2019 01:42:27 +00:00,243126
Botbot_Init_Message,User,Webchat,Onboarding-Greetings-Menu,0.5594801902770996,,11/03/2019 16:45:16 +00:00,243066
hello..good evening..,User,Webchat,Onboarding-Greetings-Menu,0.539915919303894,,11/04/2019 08:54:24 +00:00,243809
"GIC working under which sector does it government or private. ",User,Webchat,Governance - Relationship w/ Govt,0.6615026593208313,,11/04/2019 08:55:41 +00:00,243809
Investment board power by GIC,User,Webchat,Governance - Board of Directors Who,0.491352379322052,,11/04/2019 08:56:54 +00:00,243809
Botbot_Init_Message,User,Webchat,Onboarding-Greetings-Menu,0.5594801902770996,,11/05/2019 00:39:16 +00:00,96357
How long will the GIC Sparks Bursary run,User,Webchat,Community Programmes - GIC Sparks & Smiles,0.7257490158081055,,11/05/2019 04:25:50 +00:00,244677
Botbot_Init_Message,User,Webchat,Onboarding-Greetings-Menu,0.5594801902770996,,11/05/2019 04:26:05 +00:00,244677
Last year for GIC sparks bursary,User,Webchat,Community Programmes - GIC Sparks & Smiles,0.7197946310043335,,11/05/2019 04:26:19 +00:00,244677
